0,points
2021-03-28,0.39170274598185156
2021-04-04,0.4378692519415859
2021-04-11,0.5655174083579487
2021-04-18,0.5911914138094155
2021-04-25,0.6648342998084542
2021-05-02,0.4615343767838889
2021-05-09,0.7883452262441547
2021-05-16,0.6180439532193807
2021-05-23,0.6678183298974321
2021-05-30,0.5560071104939639
2021-06-06,0.4244374876280271
2021-06-13,0.531466494421014
2021-06-20,0.6999419509423709
2021-06-27,0.6735195139579004
2021-07-04,0.782943214339509
2021-07-11,0.6531723383583156
2021-07-18,0.2979073995675486
2021-07-25,0.44148397076865636
2021-08-01,0.6311003909875952
2021-08-08,0.4507000149469384
2021-08-15,0.49848471835392566
2021-08-22,0.6956538478814674
2021-08-29,0.4867392312827417
2021-09-12,0.5033095215019128
2021-09-19,0.6244851822007341
2021-09-26,0.7532486901488821
2021-10-03,0.42833972464952536
2021-10-10,0.7590855074065885
2021-10-17,0.5806824289366747
2021-10-24,0.6288127290427794
2021-10-31,0.7043177252726229
2021-11-07,0.6771600803750837
2021-11-14,0.37447280595591736
2021-11-21,0.5461684069807283
2021-11-28,0.6042336674569826
2021-12-05,0.4903614072153399
2021-12-12,0.5636430258655099
2021-12-19,0.5009460041238982
2021-12-26,0.6422719825232113
2022-01-09,0.5987903494398039
2022-01-23,0.5742795968073424
2022-01-30,0.6750308486657521
2022-02-06,0.5645669291338583
2022-02-13,0.5999476420210179
2022-02-20,0.5294950862414761
2022-02-27,0.6101409115028594
2022-03-06,0.40120785752152793
2022-03-13,0.5233014680778423
2022-03-20,0.7057749442931419
2022-03-27,0.7423528618469818
2022-04-03,0.68451521701733
2022-04-10,0.3925210323684586
2022-04-17,0.3607218315957189
2022-04-24,0.6207881651687822
2022-05-01,0.5437804598829031
2022-05-08,0.4255693656153459
2022-05-15,0.6788668046142846
2022-05-22,0.5576499795249795
2022-05-29,0.1601676351297454
