story_id,dur,score
9810,0.4275,1
9844,0.5313888888888889,1
10114,0.7483333333333333,1
10325,0.7569444444444444,1
10465,0.7880555555555555,1
9773,1.3091666666666666,1
10321,1.333611111111111,1
10226,1.4238888888888888,1
10307,1.5080555555555557,3
8467,1.741111111111111,3
10176,1.7499999999999996,1
9641,1.9183333333333334,2
10039,2.0058333333333334,1
9639,2.084722222222222,3
9740,2.3158333333333334,3
9811,2.4752777777777775,2
10396,2.596388888888889,1
10426,2.6641666666666666,3
10183,2.8333333333333335,2
10510,2.936111111111111,2
9751,3.0233333333333334,2
10460,3.052222222222222,1
10040,3.202222222222222,2
10326,3.225833333333333,2
10016,4.08,2
10389,5.496111111111111,2
9746,6.214166666666667,3
10364,6.644444444444444,1
10140,6.822777777777778,3
10450,7.2380555555555555,8
9990,8.957777777777778,5
10149,11.122222222222224,2
9799,11.370555555555557,8
9829,11.924166666666665,3
9660,13.11638888888889,5
10213,13.97861111111111,8
9794,14.9775,1
10249,15.671944444444446,3
9537,15.81277777777778,5
10270,15.84138888888889,5
10014,16.003888888888895,3
10004,18.500555555555557,5
10097,18.503333333333327,5
9005,18.57361111111111,1
9616,25.778611111111115,5
9995,42.00805555555556,13
